Lv,序号,标记,ジャンル名(タイプ),曲名,bpm,Time,Notes,難易度
31,10,,ガバ(N),disable dA STACK,185,1:49,618,強(+0.5)
31,10,,フェアリーテイル(EX),"""Princess Piccolo""",130,2:03,710,強(+0.5)
31,10,,プラスチックポップ(H),STEREO TOKYO,180,1:59,684,中(0.0)
31,10,,J-アシッド(EX),STATION,117,1:32,468,強(+0.5)
31,11,,ショウナンバラッド(H),柳小路のシスター,90～114,2:03,647,強(+0.5)
31,12,,オンセン◎ラップ(H),ONSEN SONG remixed,200,1:55,646,中(0.0)
31,12,,ハイパーロッケンローレ(N),エイプリルフールの唄,179,1:59,629,中(0.0)
31,12,,,ラメント(N),雫,95～210,2:02,477
31,13,,グライド(H),空への扉,174,2:01,579,中(0.0)
31,13,,コアダストビート(N),真超深TION,177,1:58,610,弱(-0.5)
31,13,,ハッピーJヴォーグ(H),Spring Comes Around,124,2:02,547,中(0.0)
31,13,,ピアノトロニカ(H),コキュトス,125,2:07,572,中(0.0)
31,13,,メルト(H),メルト,168,2:10,646,中(0.0)
31,14,,フィーバーロボ(N),踊るフィーバーロボ,160,1:46,497,強(+0.5)
31,15,,アーバンメロウポップ(H),Psychology,120,1:50,479,中(0.0)
31,15,,ウォーリアー(H),THE MAN FROM FAR EAST,118～128,2:02,545,中(0.0)
31,15,,エレフラッドウェイヴ(N),Aqua,115,1:52,487,弱(-0.5)
31,15,,シャイポップ(H),ネガイゴト,138,1:53,636,中(0.0)
31,15,,チテイタンケン(N),スーパーモグー,37～180,2:06,540,弱(-0.5)
31,15,,ニューソウル(H),My Own Swan,134,1:46,558,弱(-0.5)
31,15,,パーカッシヴ2(N),西麻布水道曲,62～400,1:54,400,強(+0.5)
31,15,,プロポーズREMIX(H),ふたりのマニフェスト(Circle of the afternoon MIX),147～296,2:01,561,弱(-0.5)
31,16,,スウィンギングポップ(H),パラソル,132,1:58,568,中(0.0)
31,16,,パーティートラック(H),タンバリンビーツ,120,1:56,518,中(0.0)
31,16,,ヒンディポップ(H),マハラディーン,128,1:49,539,中(0.0)
31,16,,ボールヅアウトロック(N),プリンシプル,181,2:03,790,詐称(+1.0)
31,16,,ムードテクノ(H),純愛ホスト☆午前5時,135～145,2:03,639,中(0.0)
31,17,,ピアノテック(N),Stories,175,1:43,520,中(0.0)
31,17,[[版]],ブルーバード(H),ブルーバード,152,1:34,573,強(+0.5)
31,18,,パラダイス昭和(H),情熱 fun! fun!,150,1:31,405,弱(-0.5)
31,18,,レクリスレイヴ(N),GOLD RUSH(pop'n GOLD MOUNTAIN rush),162,1:39,407,中(0.0)
31,18,,J-ハウスポップ2(H),心のコラージュ,135,1:59,449,弱(-0.5)
31,20,,アーバンロック(H),life goes on,110,1:46,500,中(0.0)
31,20,,フルフィーポップ(H),REcorrection,116,2:01,474,弱(-0.5)
31,20,,プログレッシブリール(H),Tradria,120,1:40,472,中(0.0)
31,20,,胸キュン☆マーブル(H),ぶきように恋してる,136,1:48,509,弱(-0.5)
31,SP,,インボルク(N),生命の焔纏いて,184,2:00,544,中(0.0)
31,SP,,チャイニーズマインド(H),悠久神話録 -遥かなる山脈に流れる大河の畔にて-,100～182,1:40,490,中(0.0)
31,SP,,スティールクロニクル(H),Dawn of departure,180,1:54,502,強(+0.5)
31,SP,,スロープカーニバル(H),滑り台のマーチ,162,1:52,490,中(0.0)
31,SP,,天空ワルツ(H),わたぐものおなか,165,1:55,558,中(0.0)
31,SP,,ナイトメアメタル(N),背徳と邪悪のエピタフ,80～190,1:43,507,強(+0.5)
31,SP,,ハイカラポップ(H),屋根裏ポスト,184,1:51,514,中(0.0)
31,SP,,ビタミンポップ(H),WORLD COLOR,110,2:06,535,弱(-0.5)
31,SP,,ラッキーハードコア(N),Daily Lunch Special,205,2:07,654,中(0.0)
31,SP,,J-エモ(H),流れ星ソニック,172～186,1:56,620,中(0.0)
31,LT,,アイドルプリンス(H),今夜ボクがキミの救世主っ！,155,,561,中(0.0)
31,LT,,一閃(N),彼女は快刀乱麻,169,,586,強(+0.5)
31,LT,,エフェメラル(N),Innocence,120～180,1:47,675,強(+0.5)
31,LT,,クリムゾン(N),暴レ焔,164,1:52,517,弱(-0.5)
31,LT,,クロノトロニカ(H),時空学者とブルーメン,103,,546,強(+0.5)
31,LT,,スッポコチップニャーン(N),ムーニャポヨポヨスッポコニャーゴ,180,1:52,556,弱(-0.5)
31,LT,,スノーウィーコア2(N),ice crystals,185,,477,弱(-0.5)
31,LT,,スパークルキャロル(N),ほしのつくりかた,180,,396,中(0.0)
31,LT,,そよかぜワルツ(H),風のささやき,188,,527,弱(-0.5)
31,LT,,トランセンデンタルエチュード(N),DIAVOLO,160,1:47,576,強(+0.5)
31,LT,,ニューポストリュード(H),Anelis,180,,653,中(0.0)
31,LT,,レプリカントコア(N),Idola,201,2:03,619,強(+0.5)
31,LT,[[版]],CHEAT DANCER(H),CHEAT DANCER,120,,511,弱(-0.5)
31,écl,,アイドルガールズ(H),Together!,158,,471,中(0.0)
31,écl,,オトカドール(H),オトカドール ～このゆびとまれ～,146,,631,中(0.0)
31,écl,,スターリーPDM(N),Trixxxter,180,1:54,592,強(+0.5)
31,écl,,撫子ロック(N),凛として咲く花の如く ～ひなビタ♪ edition～,163,,678,中(0.0)
31,écl,,ハードアートコア(N),Grand Chariot,191,1:57,609,強(+0.5)
